GroupID,PiecesA,PiecesB,Packings,Islands,MaxEstimatedDiameter,StartStateA,StartStateB,EndStateA,EndStateB,TimeTaken(ms)
6737/11930,3L/3L/2I/1/0/0,3L270/0/0/2I90/3L/1,2262016,23665,52,3 1 0 0 | 3 1 1 0 | 0 0 2 0 | 4 0 2 2,0 1 1 0 | 6 1 5 0 | 4 4 5 5 | 0 0 0 0,0 1 0 0 | 0 1 1 3 | 0 0 2 3 | 4 0 2 2,0 1 1 0 | 6 1 5 0 | 4 4 5 5 | 0 0 0 0,6217.885875
6765/11930,3L/3L/2I/1/0/0,0/0/2I/1/3L180/3L90,2346240,41930,67,0 4 1 0 | 0 0 1 1 | 0 3 2 0 | 0 3 2 2,0 6 4 0 | 6 6 5 5 | 0 3 0 5 | 0 3 0 0,0 4 2 0 | 0 0 2 2 | 0 3 1 0 | 0 3 1 1,0 6 4 0 | 6 6 5 5 | 0 3 0 5 | 0 3 0 0,5831.548292
6730/11930,3L/3L/2I/1/0/0,0/0/3L90/1/3L90/2I90,2262016,37569,66,0 0 1 0 | 0 3 1 1 | 2 3 4 0 | 2 2 0 0,0 6 6 5 | 0 3 5 5 | 3 3 0 0 | 0 0 0 4,0 0 2 0 | 0 3 2 2 | 1 3 4 0 | 1 1 0 0,0 6 6 5 | 0 3 5 5 | 3 3 0 0 | 0 0 0 4,5555.087583
6742/11929,3L/3L/2I/1/0/0,3L180/1/0/0/3L/2I90,2839552,21835,54,0 0 3 0 | 0 1 3 0 | 2 1 1 4 | 2 2 0 0,6 6 0 0 | 5 1 1 0 | 5 5 1 0 | 0 2 0 0,0 0 0 0 | 1 0 0 3 | 1 1 2 3 | 0 4 2 2,0 0 5 0 | 1 1 5 5 | 0 1 6 6 | 0 0 0 2,8123.053417
6738/11930,3L/3L/2I/1/0/0,0/0/1/2I90/3L180/3L,2839552,41438,104,2 4 0 0 | 2 2 1 0 | 3 0 1 1 | 3 0 0 0,0 0 0 0 | 0 4 4 0 | 5 5 6 0 | 3 5 6 6,1 4 0 0 | 1 1 2 0 | 3 0 2 2 | 3 0 0 0,0 0 0 0 | 0 4 4 0 | 5 5 6 0 | 3 5 6 6,7417.928584
6731/11930,3L/3L/2I/1/0/0,2I90/0/0/3L90/3L90/1,2262016,24085,67,0 0 1 0 | 0 2 1 1 | 3 2 2 0 | 3 4 0 0,0 0 1 1 | 0 5 0 0 | 5 5 4 0 | 0 4 4 6,1 0 0 0 | 1 1 4 0 | 0 3 2 0 | 0 3 2 2,1 1 0 4 | 0 0 4 4 | 0 0 5 6 | 0 5 5 0,6290.025958
6744/11929,3L/3L/2I/1/0/0,1/0/0/2I90/3L90/3L,2346240,37676,82,1 0 0 0 | 1 1 0 3 | 0 2 4 3 | 0 2 2 0,0 0 0 5 | 0 1 5 5 | 0 6 4 4 | 0 6 6 0,0 2 0 0 | 3 2 2 0 | 3 4 1 0 | 0 0 1 1,0 5 0 0 | 5 5 0 0 | 6 4 4 0 | 6 6 0 1,6020.57575
6765/11930,3L/3L/2I/1/0/0,0/0/1/3L180/3L90/2I,2346240,38209,69,2 0 3 0 | 2 2 3 0 | 4 1 0 0 | 0 1 1 0,0 0 3 5 | 4 4 5 5 | 0 4 0 6 | 0 0 0 6,1 0 3 0 | 1 1 3 0 | 4 2 0 0 | 0 2 2 0,0 0 3 5 | 4 4 5 5 | 0 4 0 6 | 0 0 0 6,5672.976083
6744/11929,3L/3L/2I/1/0/0,1/0/0/3L/3L90/2I90,2346240,32761,74,0 2 0 0 | 1 2 2 3 | 1 1 0 3 | 0 0 0 4,0 0 0 0 | 1 5 0 0 | 5 5 4 0 | 6 6 4 4,0 3 0 0 | 1 3 2 0 | 1 1 2 2 | 0 0 0 4,0 0 0 0 | 1 5 0 0 | 5 5 4 0 | 6 6 4 4,5902.973791
6748/11930,3L/3L/2I/1/0/0,0/0/2I90/1/3L/3L,2262016,43392,65,0 0 1 4 | 0 3 1 1 | 0 3 2 0 | 0 0 2 2,0 0 4 0 | 3 3 6 0 | 0 5 6 6 | 0 5 5 0,0 0 2 4 | 0 3 2 2 | 0 3 1 0 | 0 0 1 1,0 0 4 0 | 3 3 6 0 | 0 5 6 6 | 0 5 5 0,5196.268417
6733/11930,3L/3L/2I/1/0/0,0/0/2I90/1/3L270/3L,2262016,41993,67,2 0 1 0 | 2 2 1 1 | 0 4 3 0 | 0 0 3 0,0 0 6 0 | 5 5 6 6 | 5 3 3 0 | 4 0 0 0,1 0 2 0 | 1 1 2 2 | 0 4 3 0 | 0 0 3 0,0 0 6 0 | 5 5 6 6 | 5 3 3 0 | 4 0 0 0,5256.535375
6767/11930,3L/3L/2I/1/0/0,2I/0/0/1/3L180/3L90,2346240,35677,77,0 3 0 0 | 1 3 0 0 | 1 1 2 4 | 0 0 2 2,0 1 5 5 | 0 1 6 5 | 0 6 6 4 | 0 0 0 0,3 4 0 0 | 3 0 0 0 | 2 0 1 0 | 2 2 1 1,0 4 6 0 | 0 6 6 1 | 0 5 5 1 | 0 0 5 0,6028.638292
6749/11930,3L/3L/2I/1/0/0,2I90/1/0/0/3L/3L,2262016,27072,59,0 1 0 0 | 0 1 1 3 | 0 2 0 3 | 0 2 2 4,6 1 1 0 | 6 6 0 0 | 0 5 2 0 | 0 5 5 0,0 1 0 0 | 0 1 1 3 | 0 2 0 3 | 0 2 2 4,5 1 1 0 | 5 5 0 0 | 0 6 2 0 | 0 6 6 0,6307.688042
6747/11929,3L/3L/2I/1/0/0,3L90/0/1/0/3L/2I90,2346240,23138,55,2 4 3 0 | 2 2 3 0 | 0 0 1 0 | 0 0 1 1,0 0 0 0 | 0 3 0 0 | 5 6 6 1 | 5 5 1 1,4 3 2 0 | 1 3 2 2 | 1 1 0 0 | 0 0 0 0,0 0 0 0 | 3 1 0 0 | 1 1 5 0 | 6 6 5 5,6963.129209
6750/11930,3L/3L/2I/1/0/0,0/0/2I/1/3L270/3L270,2262016,44035,75,1 0 0 0 | 1 1 2 0 | 0 3 2 2 | 0 3 4 0,0 0 5 5 | 6 6 5 0 | 6 3 0 0 | 0 3 0 4,2 0 0 0 | 2 2 1 0 | 0 3 1 1 | 0 3 4 0,0 0 6 6 | 5 5 6 0 | 5 3 0 0 | 0 3 0 4,5803.693959
6770/11930,3L/3L/2I/1/0/0,0/0/2I/1/3L90/3L90,2262016,43717,75,0 3 0 4 | 0 3 2 0 | 0 1 2 2 | 0 1 1 0,3 0 0 0 | 3 5 4 0 | 5 5 6 0 | 0 6 6 0,0 3 0 4 | 0 3 1 0 | 0 2 1 1 | 0 2 2 0,3 0 0 0 | 3 5 4 0 | 5 5 6 0 | 0 6 6 0,5532.430042
6748/11929,3L/3L/2I/1/0/0,1/0/0/2I90/3L/3L,2262016,39590,103,0 3 0 0 | 0 3 2 0 | 4 1 2 2 | 0 1 1 0,5 0 6 0 | 5 5 6 6 | 4 4 0 1 | 0 0 0 0,0 3 0 0 | 0 3 2 0 | 4 1 2 2 | 0 1 1 0,6 0 5 0 | 6 6 5 5 | 4 4 0 1 | 0 0 0 0,5346.360083
6751/11930,3L/3L/2I/1/0/0,2I/1/0/0/3L270/3L270,2262016,26606,57,0 0 3 0 | 0 2 3 0 | 1 2 2 4 | 1 1 0 0,0 0 6 6 | 5 5 6 0 | 5 1 2 0 | 0 1 0 0,0 0 3 0 | 0 2 3 0 | 1 2 2 4 | 1 1 0 0,0 0 5 5 | 6 6 5 0 | 6 1 2 0 | 0 1 0 0,5977.504208
6760/11930,3L/3L/2I/1/0/0,0/0/3L90/1/3L270/2I,2839552,36292,69,1 4 0 0 | 1 1 0 0 | 0 2 0 3 | 0 2 2 3,0 4 5 5 | 0 0 5 0 | 6 0 3 0 | 6 3 3 0,2 4 0 0 | 2 2 0 0 | 0 1 0 3 | 0 1 1 3,0 4 5 5 | 0 0 5 0 | 6 0 3 0 | 6 3 3 0,7722.999834
6771/11930,3L/3L/2I/1/0/0,2I/1/0/0/3L90/3L90,2262016,26738,54,2 0 0 0 | 2 2 0 0 | 4 3 1 0 | 0 3 1 1,0 2 6 0 | 0 6 6 0 | 0 5 1 0 | 5 5 1 0,2 0 0 0 | 2 2 0 0 | 4 3 1 0 | 0 3 1 1,0 2 5 0 | 0 5 5 0 | 0 6 1 0 | 6 6 1 0,6411.983958
6749/11929,3L/3L/2I/1/0/0,3L/0/0/1/3L/2I90,2262016,31608,68,2 0 1 0 | 2 2 1 1 | 0 3 0 0 | 0 3 4 0,0 1 0 0 | 5 1 1 0 | 5 5 0 0 | 0 4 6 6,0 0 1 0 | 3 2 1 1 | 3 2 2 0 | 0 0 4 0,0 1 0 0 | 5 1 1 0 | 5 5 0 0 | 0 4 6 6,5873.3235
6770/11930,3L/3L/2I/1/0/0,0/0/1/2I/3L90/3L90,2262016,45619,74,0 0 3 0 | 0 0 3 0 | 1 4 2 0 | 1 1 2 2,0 0 5 3 | 0 5 5 6 | 0 4 6 6 | 0 4 0 0,0 0 3 0 | 0 0 3 0 | 1 4 2 0 | 1 1 2 2,0 0 6 3 | 0 6 6 5 | 0 4 5 5 | 0 4 0 0,5391.890125
6752/11930,3L/3L/2I/1/0/0,0/0/1/3L180/3L270/2I,2262016,39323,84,4 1 0 0 | 3 1 1 0 | 3 2 0 0 | 0 2 2 0,0 0 6 0 | 4 4 6 0 | 3 4 5 5 | 0 0 5 0,4 2 0 0 | 3 2 2 0 | 3 1 0 0 | 0 1 1 0,0 0 6 0 | 4 4 6 0 | 3 4 5 5 | 0 0 5 0,5613.152584
6748/11929,3L/3L/2I/1/0/0,1/0/0/3L/3L/2I90,2262016,33925,81,0 2 0 0 | 1 2 2 0 | 1 1 3 4 | 0 0 3 0,6 6 5 0 | 1 0 5 5 | 0 0 4 0 | 0 0 4 4,1 0 2 0 | 1 1 2 2 | 0 3 4 0 | 0 3 0 0,1 0 5 0 | 0 0 5 5 | 0 4 6 6 | 0 4 4 0,6087.54475
6761/11930,3L/3L/2I/1/0/0,1/0/0/3L270/3L90/2I,2839552,32316,79,0 2 0 0 | 1 2 2 3 | 1 1 4 3 | 0 0 0 0,0 0 0 0 | 6 1 0 0 | 6 4 4 5 | 0 4 5 5,3 1 0 0 | 3 1 1 4 | 2 0 0 0 | 2 2 0 0,0 5 1 0 | 5 5 4 4 | 0 0 4 6 | 0 0 0 6,7232.547875
6772/11930,3L/3L/2I/1/0/0,0/0/1/3L/3L270/2I,2346240,38572,74,0 4 1 0 | 2 0 1 1 | 2 2 3 0 | 0 0 3 0,4 0 0 6 | 4 4 0 6 | 0 3 5 5 | 0 0 5 0,0 4 2 0 | 1 0 2 2 | 1 1 3 0 | 0 0 3 0,4 0 0 6 | 4 4 0 6 | 0 3 5 5 | 0 0 5 0,5778.181166
6750/11929,3L/3L/2I/1/0/0,1/0/0/2I/3L270/3L270,2262016,39536,87,0 0 0 3 | 0 0 1 3 | 0 2 1 1 | 4 2 2 0,5 5 0 0 | 5 0 1 0 | 4 6 6 0 | 4 6 0 0,0 0 0 3 | 0 0 1 3 | 0 2 1 1 | 4 2 2 0,6 6 0 0 | 6 0 1 0 | 4 5 5 0 | 4 5 0 0,5469.519334
